population size,crossover probability,mutation probability,best,generations,text
20,0.6,0.0,0.18955247673962702,61,οι αλεξανδρε ουδις πετρου
20,0.6,0.0,0.23930915687983847,64,μνημιον αλεξανδρε ουδις σαβα
20,0.6,0.0,0.1697440195269366,9,φυλης αλεξανδρε ουδις ημερα
20,0.6,0.0,0.22000002507408054,73,εξηκοντα αλεξανδρε ουδις ας
20,0.6,0.0,0.17853832796300032,58,μουσηλιου αλεξανδρε ουδις εν
20,0.6,0.0,0.2696911756755942,78,ιν αλεξανδρε ουδις θαρσι
20,0.6,0.0,0.21186666391368478,64,ελθων αλεξανδρε ουδις ετων
20,0.6,0.0,0.16992293943317793,68,ημ αλεξανδρε ουδις ας
20,0.6,0.0,0.16606169053946687,58,ρωμηι αλεξανδρε ουδις ος
20,0.6,0.0,0.18024331640341718,12,τεγραρ αλεξανδρε ουδις ετι
20,0.6,0.0,0.19949297921488238,54.5,
