[nan nan nan nan]
[        nan -0.8242254  -0.73604819 -0.83620918]
[       nan 0.62147063 0.32663143 0.81487069]
[        nan -0.64396405 -0.8323054  -0.44384229]
[        nan -1.72553215 -1.98739194 -1.38552282]
[        nan -1.00448675 -1.02481982 -0.91468256]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -0.28344135 -0.44727655 -0.12994878]
[        nan -1.45514013 -1.50610588 -1.30704945]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.8449947  1.1390423  0.54178334]
[       nan 0.56018177 0.81946836 0.3063632 ]
[       nan 0.84138947 1.13519201 0.5386444 ]
[        nan -0.8242254  -0.67829386 -0.88015427]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan -0.5033602 -0.2971153 -0.6321784]
[        nan -0.28344135 -0.44727655 -0.12994878]
[        nan -1.40106172 -1.25583713 -1.41377324]
[       nan 0.47726155 0.73476201 0.23102876]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan 0.93512538 1.2391498  0.62025672]
[        nan -0.38438771 -0.17005578 -0.52859354]
[        nan -0.68001632 -0.60128809 -0.69181816]
[       nan 1.16225468 1.09668913 1.1287642 ]
[        nan -1.1847481  -1.21733425 -1.07162931]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan 0.32223679 0.57304989 0.09291562]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 2.06356143 2.25177567 1.75655123]
[       nan 1.70303873 1.86674682 1.44265772]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -1.66063807 -1.54460877 -1.6334987 ]
[       nan 0.7909163  1.08128797 0.49469931]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -1.45514013 -1.40984867 -1.38552282]
[        nan -1.65342761 -1.52535732 -1.6334987 ]
[        nan -0.37357203 -0.25476213 -0.44384229]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -1.5452708  -1.60236309 -1.38552282]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -1.5452708  -1.60236309 -1.38552282]
[        nan -0.64396405 -0.63979098 -0.59765011]
[       nan 0.22850088 0.36128403 0.10547136]
[        nan -1.09461743 -0.94781405 -1.13126908]
[       nan 3.29294384 1.59337634 4.43406288]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -2.0391869  -1.98739194 -1.93169753]
[       nan 3.29294384 1.59337634 4.43406288]
[        nan -0.28344135 -0.44727655 -0.12994878]
[        nan -1.36500945 -1.60236309 -1.07162931]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -0.28344135 -0.44727655 -0.12994878]
[       nan 0.83778425 1.12749143 0.5386444 ]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 1.16225468 1.09668913 1.1287642 ]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.80173198 0.80791749 0.73639731]
[        nan -1.48037672 -1.3674955  -1.46085727]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 1.16225468 1.48171797 0.81800963]
[       nan 1.78956418 2.05541096 1.44265772]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 1.61290805 1.86674682 1.28571096]
[        nan -1.00809198 -0.84000598 -1.07162931]
[        nan -0.37357203 -0.25476213 -0.44384229]
[        nan -0.53580724 -0.33946847 -0.65728988]
[       nan 0.57460268 0.8040672  0.34403043]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 1.42904148 1.67038211 1.1287642 ]
[       nan 0.484472   0.75786374 0.22788983]
[       nan 0.70799607 0.99658163 0.4225038 ]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 1.72827532 2.08621326 1.31082244]
[        nan  0.07347612  0.31893085 -0.12994878]
[        nan -1.36500945 -1.21733425 -1.38238389]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 0.62147063 0.80791749 0.4225038 ]
[        nan -0.72688427 -0.53583319 -0.82679237]
[       nan 0.73683789 1.02353365 0.44761528]
[       nan 1.02525605 1.33540701 0.69873009]
[        nan -0.28344135 -0.44727655 -0.12994878]
[        nan -1.72553215 -1.98739194 -1.38552282]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.1847481  -1.21733425 -1.07162931]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -1.31093105 -1.15957992 -1.33529986]
[        nan -0.8242254  -0.67829386 -0.88015427]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -1.20277424 -1.05177184 -1.23799287]
[        nan -0.91435608 -0.8323054  -0.91468256]
[       nan 0.88825742 1.09283884 0.65792394]
[        nan -0.17528454  0.05326095 -0.3465353 ]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.57546474 -0.95551463 -0.22411683]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -0.58267519 -0.44727655 -0.64787307]
[       nan 3.29294384 1.59337634 4.43406288]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan 0.98199333 0.32663143 1.44265772]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.53220201 -0.32791761 -0.65728988]
[        nan -1.9057935  -1.98739194 -1.69941633]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.91435608 -1.02481982 -0.75459686]
[       nan 0.64670722 0.93112672 0.36914191]
[        nan -1.31093105 -1.15957992 -1.33529986]
[        nan -1.1847481  -1.02481982 -1.22543713]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -1.72553215 -1.98739194 -1.38552282]
[        nan -0.8242254  -0.67829386 -0.88015427]
[        nan -0.39159816 -0.23551069 -0.49092632]
[        nan -1.5452708  -1.50610588 -1.4639962 ]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -0.91075085 -0.73989848 -0.98060019]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -1.63540148 -1.60236309 -1.54246958]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.93512538 1.22759893 0.62653459]
[        nan -1.1847481  -1.21733425 -1.07162931]
[       nan 2.06356143 1.86674682 2.07044474]
[       nan 0.96036196 1.26610182 0.64222926]
[       nan 1.34251603 1.48171797 1.1287642 ]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.96036196 1.26225153 0.64222926]
[        nan -1.5452708  -1.42910011 -1.52363597]
[        nan -0.8242254  -0.73604819 -0.83620918]
[       nan 1.61290805 1.6742324  1.44265772]
[       nan 1.87969485 2.24792538 1.44265772]
[        nan -1.19195856 -1.067173   -1.20346459]
[        nan -1.36500945 -1.21733425 -1.38238389]
[       nan 0.70439085 0.98888105 0.41936487]
[        nan -0.28344135 -0.44727655 -0.12994878]
